#z(nm),O-,O=C,OH,NC=O,NH2
-7.0,0.0,0.0,0.0,0.0,0.0
-6.9,0.0,0.001,0.001,0.0,0.001
-6.8,0.003,0.004,0.002,0.001,0.006
-6.7,0.005,0.007,0.003,0.002,0.008
-6.6,0.005,0.012,0.006,0.003,0.006
-6.5,0.002,0.006,0.004,0.003,0.006
-6.4,0.001,0.003,0.001,0.0,0.01
-6.3,0.002,0.006,0.001,0.003,0.017
-6.2,0.004,0.03,0.0,0.023,0.056
-6.1,0.01,0.12,0.008,0.094,0.137
-6.0,0.079,0.309,0.044,0.216,0.238
-5.9,0.188,0.524,0.096,0.403,0.351
-5.8,0.26,0.586,0.109,0.446,0.368
-5.7,0.253,0.757,0.122,0.577,0.417
-5.6,0.308,0.945,0.123,0.742,0.539
-5.5,0.421,1.366,0.096,1.125,0.734
-5.4,0.478,1.886,0.093,1.563,0.885
-5.3,0.372,2.453,0.125,2.039,1.023
-5.2,0.414,2.819,0.132,2.271,0.954
-5.1,0.595,2.967,0.103,2.351,0.849
-5.0,0.668,3.22,0.082,2.634,0.732
-4.9,0.614,3.84,0.103,3.301,0.813
-4.8,0.677,4.448,0.137,3.837,1.018
-4.7,0.762,4.773,0.121,4.242,1.354
-4.6,0.94,5.296,0.153,4.99,1.437
-4.5,1.327,6.366,0.237,6.233,1.259
-4.4,1.638,7.326,0.152,7.352,1.201
-4.3,1.95,7.882,0.1,7.414,1.541
-4.2,1.89,7.795,0.089,7.498,2.477
-4.1,1.85,7.116,0.16,7.022,3.375
-4.0,1.752,8.756,0.311,8.71,2.834
-3.9,1.337,11.24,0.365,11.594,1.614
-3.8,0.929,11.849,0.56,12.266,1.081
-3.7,0.268,13.533,0.577,12.489,1.048
-3.6,0.195,13.972,0.431,10.827,1.439
-3.5,0.575,11.304,0.565,9.769,1.027
-3.4,1.078,9.675,0.765,8.78,0.804
-3.3,1.263,9.173,0.626,8.199,0.354
-3.2,1.255,8.865,0.583,7.762,0.368
-3.1,1.671,8.375,0.693,7.426,0.456
-3.0,2.912,8.296,0.81,7.419,0.511
-2.9,1.668,9.657,1.087,8.501,0.641
-2.8,0.938,11.225,1.419,9.442,0.643
-2.7,1.425,10.719,0.796,9.413,0.766
-2.6,1.765,10.978,0.77,9.329,0.802
-2.5,1.162,11.405,1.104,9.743,0.903
-2.4,1.194,10.621,0.634,9.637,0.636
-2.3,1.318,9.469,0.369,9.191,0.558
-2.2,1.002,11.184,0.379,11.246,0.652
-2.1,0.863,11.297,0.451,11.148,0.345
-2.0,0.756,11.236,0.479,10.839,0.122
-1.9,1.203,10.22,0.591,9.677,0.163
-1.8,1.077,10.237,0.785,8.897,0.336
-1.7,1.092,10.052,0.711,9.077,0.652
-1.6,1.085,10.152,0.535,9.367,1.157
-1.5,1.007,10.713,0.414,9.799,1.493
-1.4,1.392,12.262,0.556,11.018,1.151
-1.3,1.236,12.131,0.844,11.197,1.124
-1.2,0.967,11.094,0.977,10.424,1.445
-1.1,0.723,10.332,0.727,10.302,1.575
-1.0,0.895,9.713,0.81,9.382,1.558
