#z(nm),O-,O=C,OH,NC=O,NH2
-7.0,0.0,0.0,0.0,0.0,0.0
-6.9,0.0,0.0,0.0,0.0,0.0
-6.8,0.0,0.0,0.0,0.0,0.001
-6.7,0.0,0.0,0.0,0.0,0.002
-6.6,0.0,0.004,0.003,0.001,0.006
-6.5,0.0,0.048,0.029,0.007,0.04
-6.4,0.0,0.123,0.062,0.033,0.125
-6.3,0.0,0.224,0.082,0.08,0.2
-6.2,0.0,0.243,0.105,0.088,0.226
-6.1,0.0,0.21,0.08,0.112,0.232
-6.0,0.0,0.215,0.096,0.106,0.239
-5.9,0.0,0.231,0.085,0.105,0.231
-5.8,0.0,0.286,0.112,0.119,0.292
-5.7,0.0,0.439,0.166,0.19,0.411
-5.6,0.0,0.789,0.196,0.405,0.538
-5.5,0.0,1.167,0.287,0.634,0.518
-5.4,0.0,1.253,0.322,0.721,0.412
-5.3,0.0,1.577,0.272,0.979,0.613
-5.2,0.0,1.953,0.272,1.316,0.869
-5.1,0.0,2.398,0.34,1.615,1.066
-5.0,0.0,3.318,0.458,2.262,1.215
-4.9,0.0,5.706,0.663,4.078,1.486
-4.8,0.0,7.075,0.659,5.243,1.723
-4.7,0.0,7.755,0.439,5.764,2.084
-4.6,0.006,6.385,0.796,4.131,1.515
-4.5,0.016,7.073,0.937,3.831,1.559
-4.4,0.005,9.408,1.005,5.704,2.106
-4.3,0.0,16.018,0.72,12.012,2.751
-4.2,0.0,18.482,0.592,12.266,2.39
-4.1,0.0,18.674,1.619,13.328,1.488
-4.0,0.001,17.68,2.264,13.716,1.326
-3.9,0.008,23.495,3.86,13.585,1.33
-3.8,0.046,23.552,3.537,14.588,0.842
-3.7,0.03,21.85,3.445,13.22,0.319
-3.6,0.005,20.47,0.462,14.808,0.315
-3.5,1.454,22.256,0.551,15.511,0.457
-3.4,3.316,22.903,1.868,16.089,0.344
-3.3,1.052,23.427,2.459,17.555,0.768
-3.2,0.44,29.063,0.25,25.364,1.299
-3.1,3.181,19.793,2.406,16.786,1.599
-3.0,1.905,22.756,2.256,16.277,1.931
-2.9,1.296,26.356,3.52,18.106,1.285
-2.8,0.523,20.038,1.608,17.161,4.638
-2.7,0.221,20.854,1.875,14.557,2.117
-2.6,0.039,18.899,1.939,11.077,0.794
-2.5,0.003,15.857,2.456,9.029,0.379
-2.4,0.015,16.394,3.31,11.767,0.623
-2.3,0.838,17.588,3.233,14.303,1.035
-2.2,5.882,17.574,1.615,14.39,2.926
-2.1,2.078,19.519,1.919,16.008,1.769
-2.0,0.582,18.827,1.177,13.445,1.361
-1.9,0.993,16.879,1.656,11.65,0.117
-1.8,3.897,11.519,1.355,7.98,0.026
-1.7,4.704,11.662,0.84,8.423,0.069
-1.6,0.639,22.188,0.446,18.791,0.226
-1.5,0.053,20.999,0.228,18.705,0.206
-1.4,0.009,12.872,0.794,10.637,1.105
-1.3,0.0,19.49,1.779,13.606,1.507
-1.2,0.019,20.147,0.696,15.54,2.31
-1.1,0.205,16.397,0.274,13.067,2.813
-1.0,0.188,20.108,0.054,15.517,0.723
-0.9,0.102,20.387,0.135,15.868,1.183
-0.8,0.049,17.366,0.189,14.456,1.645
-0.7,0.006,18.133,0.243,14.315,0.715
-0.6,0.0,18.805,0.407,13.745,2.143
-0.5,0.004,18.575,0.921,13.961,1.466
-0.4,0.01,18.932,2.294,13.907,0.488
-0.3,0.014,21.557,1.425,16.167,0.437
-0.2,0.013,17.232,2.693,14.337,2.018
-0.1,0.261,17.881,3.421,12.743,1.806
-0.0,1.484,19.591,3.64,10.607,0.104
0.1,4.457,15.381,4.775,7.964,0.158
0.2,3.732,16.433,2.723,11.616,0.202
0.3,3.868,16.926,3.871,8.497,0.469
0.4,1.477,17.835,1.579,10.498,1.396
0.5,0.419,16.888,1.814,11.165,1.839
0.6,1.036,18.057,0.579,13.623,3.119
0.7,3.018,14.019,0.285,13.027,2.501
0.8,2.432,13.378,1.397,12.289,0.578
0.9,0.969,17.965,2.772,16.835,0.389
1.0,0.849,13.53,1.819,9.003,1.272
1.1,0.021,18.994,2.2,14.638,2.504
1.2,0.001,15.729,0.614,13.465,5.541
1.3,0.0,15.394,0.388,11.05,2.729
1.4,0.0,15.375,0.233,11.202,2.338
1.5,0.0,14.61,0.199,11.498,2.61
1.6,0.0,18.365,0.303,14.43,2.668
1.7,0.0,20.193,0.568,11.682,1.919
1.8,0.0,15.291,1.179,10.727,2.703
1.9,0.0,13.981,0.432,11.512,2.642
2.0,0.0,15.339,0.195,11.182,2.445
2.1,0.0,25.234,0.025,15.078,0.923
2.2,0.0,20.85,0.24,14.029,2.479
2.3,0.0,23.874,1.039,17.119,1.321
2.4,0.0,23.9,1.078,16.232,1.318
2.5,0.0,21.451,0.051,16.807,0.436
2.6,0.0,26.536,2.781,19.818,0.738
2.7,0.0,26.138,2.946,19.749,0.966
2.8,0.0,15.481,1.472,11.183,2.739
2.9,0.0,18.544,2.174,15.169,3.342
3.0,0.0,11.868,0.766,10.291,1.87
3.1,0.0,17.127,0.421,13.276,0.74
3.2,0.0,15.653,0.939,10.634,1.47
3.3,0.0,10.241,0.482,8.935,2.908
3.4,0.0,9.124,0.434,6.849,2.785
3.5,0.0,11.267,1.518,7.074,2.846
3.6,0.0,12.929,1.707,7.601,2.727
3.7,0.0,13.493,1.556,7.974,2.557
3.8,0.0,13.538,1.141,8.054,2.043
3.9,0.0,14.29,0.849,8.542,1.922
4.0,0.0,12.328,0.682,7.84,1.857
4.1,0.0,8.575,0.517,6.662,0.92
4.2,0.0,7.299,0.354,5.889,0.751
4.3,0.0,10.442,0.44,7.738,1.603
4.4,0.007,12.237,0.538,9.058,2.099
4.5,0.138,11.136,0.596,8.485,1.489
4.6,1.101,9.03,0.837,5.77,0.657
4.7,1.933,8.596,0.824,5.087,0.576
4.8,1.254,7.293,1.165,4.363,0.628
4.9,0.28,6.193,1.251,3.891,0.693
5.0,0.268,7.784,1.7,5.801,0.581
5.1,0.693,6.771,1.524,4.719,0.412
5.2,0.689,5.086,1.401,2.854,0.286
5.3,0.228,5.343,1.275,2.992,0.272
5.4,0.242,3.903,0.99,1.993,0.244
5.5,0.334,2.331,0.749,1.016,0.199
5.6,0.632,1.432,0.584,0.536,0.107
5.7,0.558,1.11,0.477,0.339,0.103
5.8,0.386,0.999,0.449,0.264,0.134
5.9,0.333,1.056,0.58,0.258,0.112
6.0,0.3,0.747,0.443,0.13,0.039
6.1,0.155,0.379,0.23,0.048,0.01
6.2,0.047,0.116,0.072,0.014,0.013
6.3,0.017,0.034,0.022,0.009,0.027
6.4,0.001,0.008,0.005,0.005,0.034
6.5,0.0,0.003,0.002,0.0,0.018
6.6,0.0,0.003,0.001,0.0,0.019
6.7,0.0,0.007,0.002,0.0,0.02
6.8,0.0,0.006,0.001,0.0,0.042
6.9,0.0,0.001,0.0,0.0,0.041
7.0,0.0,0.0,0.0,0.0,0.027
