#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-7.0,0.0,0.0,-0.0,-0.369,-0.0,0.082,-0.0,-0.944,-0.0,1.135,-0.0,-0.12,-0.0,-1.249,13.731,-134.692,0.177,-0.991
-6.9,0.0,0.0,0.002,-0.348,-0.0,0.08,-0.0,-0.854,0.0,1.022,-0.001,-0.11,-0.0,-1.134,13.357,-132.011,0.232,-1.643
-6.8,0.0,0.0,-0.0,-0.342,-0.001,0.078,-0.001,-0.769,-0.0,0.939,-0.003,-0.105,-0.0,-1.048,13.379,-134.486,0.236,-1.865
-6.7,0.0,0.0,0.0,-0.452,-0.002,0.104,-0.001,-0.998,0.0,1.24,-0.006,-0.14,-0.0,-1.379,13.456,-134.137,0.172,-1.109
-6.6,0.0,0.0,0.0,-0.515,-0.003,0.127,-0.001,-1.175,-0.0,1.435,-0.005,-0.161,-0.0,-1.602,13.241,-131.323,0.198,-1.053
-6.5,0.0,0.0,0.0,-0.539,-0.002,0.128,-0.0,-1.257,-0.0,1.485,-0.004,-0.17,-0.0,-1.656,13.398,-132.595,0.238,-1.1
-6.4,0.0,0.0,0.0,-0.471,-0.001,0.107,-0.0,-1.126,-0.0,1.301,-0.004,-0.148,-0.0,-1.462,13.547,-134.396,0.265,-1.597
-6.3,0.0,0.0,-0.0,-0.553,-0.001,0.125,-0.001,-1.298,-0.001,1.528,-0.006,-0.176,-0.001,-1.722,13.536,-133.584,0.233,-1.28
-6.2,0.0,0.0,-0.0,-0.762,-0.001,0.184,-0.001,-1.795,-0.006,2.108,-0.018,-0.273,-0.008,-2.397,13.39,-135.088,0.274,-1.197
-6.1,0.0,0.0,-0.001,-0.774,-0.004,0.184,-0.003,-1.811,-0.025,2.118,-0.054,-0.315,-0.034,-2.478,13.622,-132.911,0.29,-1.229
-6.0,0.0,0.0,-0.002,-0.874,-0.019,0.183,-0.018,-2.13,-0.048,2.262,-0.105,-0.452,-0.064,-2.726,13.738,-131.976,0.326,-1.215
-5.9,0.0,0.0,-0.012,-1.081,-0.031,0.134,-0.042,-2.487,-0.069,2.64,-0.156,-0.66,-0.111,-3.248,13.609,-131.588,0.253,-0.369
-5.8,0.0,0.0,-0.012,-1.188,-0.031,0.07,-0.051,-2.636,-0.065,2.82,-0.172,-0.643,-0.139,-3.41,13.651,-130.703,0.292,-0.304
-5.7,0.0,0.0,-0.01,-1.148,-0.046,0.104,-0.077,-2.738,-0.086,3.025,-0.187,-0.702,-0.183,-3.738,13.895,-130.429,0.331,-0.672
-5.6,0.0,0.0,-0.003,-1.22,-0.037,0.091,-0.102,-2.841,-0.129,3.258,-0.241,-0.789,-0.23,-4.047,13.626,-130.535,0.398,-1.426
-5.5,0.0,0.0,-0.002,-1.326,-0.045,0.189,-0.144,-3.329,-0.21,3.559,-0.314,-1.042,-0.359,-4.632,13.566,-126.716,0.493,-1.982
-5.4,0.0,0.0,-0.0,-1.377,-0.025,0.12,-0.174,-3.223,-0.306,3.305,-0.406,-1.203,-0.474,-4.667,13.735,-128.129,0.382,-1.339
-5.3,0.0,0.0,-0.004,-1.606,0.012,-0.194,-0.17,-3.817,-0.401,3.871,-0.458,-1.574,-0.615,-5.694,13.711,-125.367,0.41,-0.288
-5.2,0.0,0.0,-0.003,-1.696,-0.039,0.105,-0.189,-4.056,-0.465,4.011,-0.476,-1.515,-0.668,-6.112,13.861,-126.107,0.343,0.29
-5.1,0.0,0.0,-0.008,-1.331,-0.042,0.098,-0.221,-3.339,-0.489,3.183,-0.469,-1.295,-0.706,-5.285,14.012,-124.386,0.469,-2.325
-5.0,0.0,0.0,-0.017,-1.65,-0.055,0.213,-0.212,-3.822,-0.562,3.943,-0.427,-1.212,-0.873,-6.401,14.144,-127.926,0.564,-2.433
-4.9,0.0,0.0,-0.014,-1.596,-0.075,0.188,-0.231,-3.842,-0.667,3.689,-0.424,-1.296,-1.116,-6.866,14.166,-122.905,0.61,-2.293
-4.8,0.0,0.0,-0.01,-1.631,-0.093,0.036,-0.244,-3.773,-0.73,2.859,-0.514,-1.454,-1.185,-6.987,14.128,-125.041,0.473,-1.597
-4.7,0.0,0.0,-0.027,-1.472,-0.117,0.009,-0.282,-3.317,-0.806,2.34,-0.69,-1.838,-1.351,-6.162,14.535,-122.873,0.549,-2.372
-4.6,0.0,0.0,-0.058,-0.933,-0.134,0.029,-0.347,-2.215,-0.906,1.638,-0.668,-2.044,-1.585,-5.815,14.309,-121.521,0.594,-4.382
-4.5,0.0,0.0,-0.061,-0.502,-0.15,-0.288,-0.516,-1.318,-0.994,0.026,-0.434,-2.108,-1.969,-5.163,14.358,-119.198,0.535,-5.44
-4.4,0.0,0.0,-0.053,-0.912,-0.149,-0.124,-0.543,-1.905,-1.199,-0.853,-0.49,-1.742,-2.174,-6.092,14.273,-115.79,0.677,-6.367
-4.3,0.0,0.0,-0.053,-0.302,-0.112,0.064,-0.578,-0.457,-1.288,-1.007,-0.691,-1.564,-2.238,-6.148,14.273,-110.59,1.347,-14.065
-4.2,0.0,0.0,-0.091,0.275,-0.096,0.047,-0.484,0.222,-1.413,-1.174,-0.764,-2.8,-2.389,-4.919,13.915,-107.493,2.042,-21.348
-4.1,0.0,0.0,-0.166,0.568,-0.036,-0.036,-0.37,0.472,-1.408,-1.906,-0.791,-3.003,-2.264,-2.414,14.132,-107.212,1.816,-21.109
-4.0,0.0,0.0,-0.191,0.587,-0.025,-0.391,-0.419,0.856,-1.762,-4.248,-0.92,-2.027,-2.545,-1.589,14.449,-109.88,1.511,-17.851
-3.9,0.0,0.0,-0.102,0.579,-0.072,-0.398,-0.341,-0.534,-2.246,-10.139,-0.655,-0.949,-2.334,-3.299,13.616,-108.607,1.029,-12.952
-3.8,0.0,0.0,-0.084,-0.86,-0.18,0.046,-0.3,-3.244,-1.87,-9.229,-0.48,-0.796,-3.287,-6.386,14.725,-110.83,0.455,-2.756
-3.7,0.0,0.0,-0.096,1.996,-0.162,-0.802,-0.267,1.047,-1.813,-15.675,-0.654,-0.736,-3.424,0.926,14.49,-110.917,0.72,-11.053
-3.6,0.0,0.0,-0.097,-0.673,-0.073,-0.508,-0.113,0.851,-2.464,-9.937,-0.681,-0.2,-3.343,-1.674,13.661,-95.425,3.121,-32.762
-3.5,0.0,0.0,-0.042,-2.505,-0.081,-0.292,-0.102,-0.259,-2.246,-3.085,-0.496,-0.662,-3.238,-4.79,14.861,-113.671,1.89,-21.393
-3.4,0.0,0.0,0.035,-3.338,-0.068,-0.35,-0.165,-0.942,-1.864,-3.416,-0.344,-0.444,-2.976,-4.117,14.229,-117.116,1.601,-17.322
-3.3,0.0,0.0,-0.178,-1.314,-0.109,-0.648,-0.278,-0.952,-1.799,-1.511,-0.238,-0.341,-2.958,-4.591,13.914,-102.538,2.081,-21.309
