#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-7.0,-0.0,-12.626,-0.0,228.862,-0.0,-280.882,0.0,0.0,-0.0,-1868.284,-0.0,165.425,-0.0,1994.535,57.338,-1024.33,-0.0,-154.865
-6.9,-0.0,-10.348,-0.0,208.519,-0.0,-264.39,0.0,0.0,-0.0,-1838.534,-0.0,158.088,-0.0,1949.282,56.432,-1033.121,-0.001,-119.064
-6.8,-0.0,-8.839,0.0,196.659,-0.0,-255.599,0.0,0.0,0.0,-1788.354,-0.001,150.3,0.0,1898.273,56.617,-1026.753,-0.0,-111.955
-6.7,-0.0,-8.568,0.0,191.338,-0.0,-250.625,0.0,0.0,-0.0,-1727.293,-0.001,144.278,-0.0,1839.54,57.178,-1019.064,-0.0,-113.68
-6.6,-0.0,-8.874,-0.0,182.564,0.0,-240.695,0.0,0.0,-0.0,-1660.136,-0.003,139.013,-0.0,1765.621,56.935,-1008.788,-0.0,-112.947
-6.5,-0.0,-8.17,-0.0,168.715,0.003,-226.657,0.0,0.0,-0.0,-1585.085,-0.009,132.671,-0.001,1683.503,56.361,-988.615,-0.001,-127.791
-6.4,-0.0,-6.098,0.0,160.947,-0.003,-211.995,0.0,0.0,-0.003,-1510.125,-0.007,123.714,-0.005,1601.96,56.76,-951.507,-0.001,-158.737
-6.3,-0.0,-4.347,-0.0,153.478,-0.022,-197.926,0.0,0.0,-0.007,-1453.2,-0.004,114.4,-0.012,1532.455,56.442,-932.009,-0.001,-160.258
-6.2,-0.0,-3.348,0.0,151.138,-0.024,-187.754,0.0,0.0,-0.012,-1424.494,-0.013,106.984,-0.013,1485.321,56.503,-956.681,-0.0,-119.39
-6.1,-0.0,-2.394,0.0,146.274,-0.004,-175.732,0.0,0.0,-0.02,-1383.658,-0.01,99.357,-0.012,1429.436,56.337,-981.986,-0.0,-77.781
-6.0,-0.0,-1.3,0.0,132.534,-0.009,-161.804,0.0,0.0,-0.02,-1317.692,-0.039,93.571,-0.02,1358.594,56.781,-980.606,-0.0,-68.906
-5.9,-0.0,-1.094,0.0,119.83,-0.025,-151.626,0.0,0.0,-0.011,-1257.017,-0.025,88.035,-0.029,1296.492,56.793,-978.045,-0.001,-65.006
-5.8,-0.0,-0.744,0.0,116.061,-0.031,-142.784,0.0,0.0,-0.021,-1200.849,-0.059,81.707,-0.044,1233.204,57.218,-975.362,-0.0,-59.806
-5.7,-0.0,-0.431,0.0,111.966,-0.031,-128.421,0.0,0.0,-0.031,-1129.426,-0.082,74.52,-0.06,1152.572,57.419,-955.809,-0.001,-70.778
-5.6,-0.0,-1.165,0.0,94.968,-0.018,-108.239,0.0,0.0,-0.054,-1038.711,0.033,65.363,-0.133,1053.244,57.315,-939.984,-0.0,-73.838
-5.5,-0.0,-2.1,-0.0,71.117,-0.035,-93.395,0.0,0.0,-0.057,-961.382,-0.04,61.259,-0.223,967.873,56.932,-948.847,-0.001,-49.808
-5.4,-0.0,-1.947,-0.0,54.801,-0.003,-85.983,0.0,0.0,-0.034,-906.027,-0.079,60.754,-0.259,902.656,56.615,-946.933,-0.001,-21.003
-5.3,-0.0,-0.837,-0.0,49.847,0.006,-75.217,0.0,0.0,-0.095,-835.491,0.037,50.692,-0.339,819.97,56.331,-926.976,-0.001,-19.254
-5.2,-0.0,-0.729,-0.0,46.675,0.023,-58.647,0.0,0.0,-0.093,-753.245,0.14,36.081,-0.392,727.341,56.293,-897.671,-0.001,-36.147
